Zipcode,State,Size (kW DC),Cost,Date Installed,Filters=state=CO
80439,CO,9.045,30500,10/13/2014,,
80526,CO,10.0,,09/01/2015,,
80524,CO,98.52,,06/02/2015,,
80521,CO,91.81,,06/18/2015,,
80525,CO,220.21,,06/03/2015,,
80521,CO,139.08,,04/22/2015,,
80521,CO,544.73,,03/17/2015,,
80521,CO,99.96,,11/01/2014,,
80831,CO,13.55,21000,10/08/2014,,
80127,CO,45.0,141000.0,06/18/2014,,
80005,CO,7.1,20000.0,01/28/2014,,
80401,CO,13.58,22000.0,01/01/2014,,
80523,CO,21.6,,11/01/2013,,
80523,CO,4.23,,04/01/2012,,
80523,CO,54.0,,05/01/2010,,
80523,CO,132.54,,05/01/2010,,
80523,CO,15.75,,05/01/2010,,
80523,CO,3300.0,,12/31/2010,,
80130,CO,3.43,0.0,03/24/2013,,
80401,CO,3.01,22000.0,10/13/1997,,
80209,CO,2.45,5408.0,04/23/2008,,
80401,CO,1.0,2000.0,10/13/1997,,
81005,CO,7.68,18000.0,08/01/2013,,
80401,CO,2.3,5000.0,10/01/2012,,
80301,CO,98.175,,04/03/2009,,
80210,CO,0.5,1000.0,06/02/2013,,
80130,CO,8.4,35196.0,03/03/2013,,
80443,CO,64.9,260249.0,03/02/2013,,
80443,CO,238.95,958189.5,03/01/2013,,
80498,CO,5.76,24134.4,02/28/2013,,
80443,CO,38.35,153783.5,02/27/2013,,
80211,CO,5.28,22123.2,02/26/2013,,
80443,CO,47.2,189272.0,02/25/2013,,
81526,CO,4.66,19525.4,02/24/2013,,
81505,CO,7.11,29790.9,02/23/2013,,
80012,CO,6.37,26690.3,02/22/2013,,
81507,CO,12.74,51087.4,02/21/2013,,
80223,CO,2.88,12528.0,02/20/2013,,
80018,CO,3.36,14616.0,02/20/2013,,
80204,CO,9.31,39008.9,02/15/2013,,
81507,CO,5.39,22584.1,02/14/2013,,
80223,CO,4.655,19504.45,02/11/2013,,
80121,CO,6.86,28743.4,02/06/2013,,
80127,CO,5.15,21578.5,02/05/2013,,
81504,CO,4.9,20531.0,01/31/2013,,
81504,CO,4.9,20531.0,01/31/2013,,
81507,CO,6.96,29162.4,01/31/2013,,
81504,CO,5.15,21578.5,01/28/2013,,
81507,CO,4.41,18477.9,01/22/2013,,
81503,CO,3.19,13876.5,01/22/2013,,
81507,CO,7.11,29790.9,01/18/2013,,
80128,CO,7.6,31844.0,01/17/2013,,
80130,CO,4.41,18477.9,01/17/2013,,
81507,CO,6.86,28743.4,01/15/2013,,
81501,CO,7.11,29790.9,01/14/2013,,
81507,CO,9.31,39008.9,01/10/2013,,
81503,CO,4.41,18477.9,01/10/2013,,
81504,CO,6.615,27716.85,01/07/2013,,
81507,CO,4.41,18477.9,01/07/2013,,
81520,CO,5.88,24637.2,01/03/2013,,
80127,CO,3.68,16008.0,01/03/2013,,
80540,CO,4.9,20531.0,01/03/2013,,
80123,CO,8.09,33897.1,01/03/2013,,
81503,CO,5.15,21578.5,01/01/2013,,
80126,CO,5.39,22584.1,12/27/2012,,
80228,CO,4.9,20531.0,12/20/2012,,
81504,CO,4.17,17472.3,12/19/2012,,
80123,CO,8.57,35908.3,12/18/2012,,
81501,CO,7.84,32849.6,12/14/2012,,
80020,CO,4.66,19525.4,12/11/2012,,
81520,CO,6.48,27151.2,04/10/2013,,
81504,CO,10.56,42345.6,04/05/2013,,
81521,CO,10.8,43308.0,04/03/2013,,
80017,CO,6.0,25140.0,04/01/2013,,
81504,CO,7.44,31173.6,04/01/2013,,
81507,CO,3.84,16704.0,03/28/2013,,
81507,CO,13.92,55819.2,03/28/2013,,
81504,CO,5.28,22123.2,03/19/2013,,
80007,CO,11.76,47157.6,03/15/2013,,
80211,CO,2.4,10440.0,03/14/2013,,
81504,CO,5.76,24134.4,03/12/2013,,
80227,CO,8.16,34190.4,03/08/2013,,
80120,CO,10.08,40420.8,03/06/2013,,
81504,CO,7.2,30168.0,03/05/2013,,
81507,CO,4.32,18100.8,03/01/2013,,
80122,CO,5.04,21117.6,02/28/2013,,
81507,CO,3.36,14616.0,02/28/2013,,
81520,CO,6.0,25140.0,02/27/2013,,
81507,CO,6.24,26145.6,02/21/2013,,
81505,CO,6.72,28156.8,02/20/2013,,
81506,CO,5.04,21117.6,02/20/2013,,
80212,CO,5.52,23128.8,02/15/2013,,
80224,CO,6.24,26145.6,02/14/2013,,
81418,CO,11.52,46195.2,02/11/2013,,
81504,CO,12.0,48120.0,01/31/2013,,
81504,CO,7.44,31173.6,01/31/2013,,
80223,CO,3.84,16704.0,01/28/2013,,
81504,CO,5.28,22123.2,01/22/2013,,
81503,CO,9.36,39218.4,01/18/2013,,
80124,CO,3.6,15660.0,01/17/2013,,
81504,CO,6.24,26145.6,01/17/2013,,
81507,CO,12.48,50044.8,01/15/2013,,
81504,CO,8.64,36201.6,01/15/2013,,
81503,CO,6.48,27151.2,01/14/2013,,
81401,CO,5.76,24134.4,01/10/2013,,
80013,CO,3.6,15660.0,01/10/2013,,
80129,CO,6.24,26145.6,01/07/2013,,
80127,CO,9.36,39218.4,01/03/2013,,
80205,CO,4.32,18100.8,01/03/2013,,
81520,CO,12.0,48120.0,01/01/2013,,
80130,CO,6.0,25140.0,12/21/2012,,
80124,CO,4.8,20112.0,12/20/2012,,
80016,CO,6.72,28156.8,12/20/2012,,
